trail_id,sentiment_all,sentence_count_all,sentiment_views,sentiment_difficulty,sentiment_crowding,sentiment_conditions,adaAccessible,areaType,avgRating,campingAvailable,cityName,difficultyRating,dogFriendly,elevationGainMeters,elevationMeters,estimatedTime,hasAlerts,highestPoint,isClosed,kidFriendly,latitude,lengthMeters,lengthMiles,longitude,numPOIs,popularity,routeType,stateName,strollerFriendly,sentence_count_views_pct,sentence_count_difficulty_pct,sentence_count_crowding_pct,sentence_count_conditions_pct,numPhotos_pct,numRecordings_pct,numFeaturedPhotos_pct,collections_count,collections_with_photos_pct,features_ada,features_beach,features_cave,features_city-walk,features_dogs,features_dogs-leash,features_dogs-no,features_event,features_forest,features_historic-site,features_hot-springs,features_kids,features_lake,features_partially-paved,features_paved,features_pub-crawl,features_rails-trails,features_river,features_strollers,features_views,features_waterfall,features_wild-flowers,features_wildlife,activities_backpacking,activities_bike-touring,activities_birding,activities_camping,activities_cross-country-skiing,activities_fishing,activities_hiking,activities_horseback-riding,activities_mountain-biking,activities_off-road-driving,activities_paddle-sports,activities_road-biking,activities_rock-climbing,activities_scenic-driving,activities_skiing,activities_snowshoeing,activities_trail-running,activities_via-ferrata,activities_walking,collections_beaches,collections_dogs,collections_hidden-gems,collections_kids,collections_lakes,collections_rivers,collections_trees,collections_trending,collections_views,collections_waterfalls,collections_wildflowers,poi_count
10299950,0.0783,31,0.2369,0.068,0.0,-0.4767,False,W,4.2,False,Bunkerville,7,False,999.744,958,5.5,False,1966,False,False,36.83433,10138.842,6.3,-114.44172,2,73.7613,O,Nevada,False,0.25806451612903225,0.25806451612903225,0.0,0.03225806451612903,3.2,1.75,0.0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
11071280,0.2515,13,-0.4939,0.0,0.0,0.1466,False,,4.4,False,Overton,1,False,24.9936,540,0.5,False,568,False,True,36.7103,965.604,0.6,-114.71152,0,56.4583,L,Nevada,False,0.07692307692307693,0.0,0.0,0.3076923076923077,1.0,1.25,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
11071275,0.4729,12,0.0,0.0,0.0,0.7134,False,,3.8,False,Overton,1,False,5.7912,541,0.5,False,542,False,True,36.71148,1126.538,0.7,-114.71347,0,57.3185,L,Nevada,True,0.0,0.0,0.0,0.5,1.3888888888888888,1.4444444444444444,0.0,4,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0
10493129,0.2124,12,0.4576,0.4927,0.0,0.4927,False,S,4.2,False,Overton,3,True,226.7712,554,3.5,True,587,False,False,36.59348,14644.994,9.1,-114.52677,3,68.4795,L,Nevada,False,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,1.9142857142857144,1.4857142857142858,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9
10018425,0.2121,32,0.1806,0.0762,0.8302,0.3868,False,W,4.6,False,Moapa,3,True,162.7632,570,3.0,False,651,False,False,36.73357,12713.786,7.9,-114.74859,0,76.6199,O,Nevada,False,0.0625,0.03125,0.09375,0.1875,2.6901408450704225,1.5352112676056338,0.0,2,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10308926,0.0934,30,0.481,-0.1518,0.0,-0.0862,False,S,4.6,False,Overton,3,True,447.7512,425,9.5,True,620,False,False,36.5972,35888.282,22.3,-114.48949,3,87.913,L,Nevada,False,0.26666666666666666,0.1,0.0,0.1,0.7101449275362319,1.4927536231884058,0.007246376811594203,3,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9
10018909,0.2896,21,0.1889,0.6904,0.8698,0.5275,False,W,4.2,False,Mesquite,3,True,264.8712,1249,2.0,False,1518,False,False,36.89781,7081.096,4.4,-114.41781,0,62.0125,O,Nevada,False,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.6896551724137931,1.4137931034482758,0.0,2,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10627023,0.2091,6,0.0,0.0,0.0,0.0,False,,4.2,False,Overton,3,False,155.7528,445,2.5,False,588,False,False,36.57155,9977.908,6.2,-114.42607,1,37.6194,L,Nevada,False,0.0,0.0,0.0,0.0,1.5,2.25,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
10913839,0.3933,12,0.5229,0.0,0.0,0.0,False,,4.5,False,Coyote Springs,3,False,76.8096,682,2.0,False,682,False,False,36.77824,9173.238,5.7,-114.81117,0,53.7314,O,Nevada,False,0.25,0.0,0.0,0.0,1.3076923076923077,1.3846153846153846,0.0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10766970,0.0908,7,0.2255,0.0,0.0,0.3382,False,,4.5,False,Overton,1,False,8.8392,544,0.5,False,544,False,False,36.6134,482.802,0.3,-114.34445,1,40.792,O,Nevada,False,0.42857142857142855,0.0,0.0,0.14285714285714285,5.25,2.5,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
